id_vehiculo,marca_vehiculo
666,UD
667,REMOULT
668,YAMAJA
669,UDTRUCKD
67,SKYGO
670,FREIGBTLINER
671,CADILAC
672,DAELIN
673,KINGO
674,CHANGAN/BRAND
675,RENA ULT
676,PONY
677,IONTERNATIONAL
678,ITALIKA
679,N/V.
68,B.M.W
680,FAWJIABAO
681,BUS INTERNACIONAL
682,FRIHGLINER
683,DISCOVER
684,UM MAGNETIC
685,KINTON
686,WULMA
687,KOREMOTO
688,FAWJLABAS
689,WALING
69,FREIGTHINER
690,TRUMPH
691,HARLY-JR
692,VITARA
693,GOHC
694,GRAND CARAVAN
695,HIO
696,WOLING
697,RODYEN
698,PETERBET
699,SKINGO
7,ASLA HERO
70,DAYANG
700,DAEWO
701,FAW JIABO
702,SINKI
703,DAEWOD
704,AVIC HONDA
705,KAMAJI
706,MATRIXI
707,NEON GEO
708,NEW RIDER
709,STARLET
71,SIASKI
710,DAWOO
711,FUEREST
712,ISUS
713,DINIA
714,LANSA
715,FASTWIND
716,RAYBAY
717,XCD 125
718,AUTOMOSA
719,LINCOLN
72,FRACHAUF
720,KEIHO
721,WALT
722,SKY GO
723,BODGE
724,FREINGTHLINER
725,CHARADE
726,CHERY Q Q
727,WUYAUG
728,BASHAN
729,WRONGLER
73,KOKO
730,SHYNRAY
731,JIULING
732,ISUSU
733,DFANG
734,PULZOR
735,VM
736,SERPENTE
737,WOLKWUAGEN
738,AVA
739,DONG FONG
74,CANGOR
740,ASIA HERO.
741,VILVO
742,QINGAY
743,KW
744,CRERY
745,DAT
746,LIRAN
747,FREIGHTINER
748,BOXEV
749,SLAT
75,HAFER
750,SPORTAN
751,NONCIN
752,PYMOUTH
753,FREIGTH LINER
754,ESTERLING
755,KENWOOD
756,FRIUNIA
757,WUYUN
758,SERPETON
759,PERVENTO
76,KIAMASTER
760,NO DEFINIDO
761,INTERNACIONALL
762,FREIGLEHILDER
763,VOLSKSWAGEN
764,WOLKSGEN
765,MOUESA
766,JINCHENA
767,RELI
768,PONTALAC
769,TUNDRA
77,FREIGLINER
770,STERLNG
771,CHAGAN
772,SORPONTO
